Date,Time,Transaction Type,Payment Type,Subtotal,Discount,Sales Tax,Tips,Total,Fee,Net,Payment Method,Card Brand,Card Number,Details,Payment ID,Device Name,Description
2012-07-28,11:40:02,Payment,Cash,$15.00,$0.00,$0.00,$0.00,$15.00,$0.00,$15.00,,,,https://squareup.com/payment/8E3R3GH0Y3NAE,8E3R3GH0Y3NAE,Illyria,Yarn (Hand-dyed)
2012-07-28,11:37:57,Payment,Cash,$12.00,$0.00,$0.00,$0.00,$12.00,$0.00,$12.00,,,,https://squareup.com/payment/5G0B1PG72RND5,5G0B1PG72RND5,Illyria,Yarn (Std Brown)
2012-07-28,11:22:48,Payment,Cash,$8.00,$0.00,$0.00,$0.00,$8.00,$0.00,$8.00,,,,https://squareup.com/payment/1FPHEFHQ1VY18,1FPHEFHQ1VY18,Illyria,Ground Lamb
2012-07-28,11:17:21,Payment,Cash,$8.00,$0.00,$0.00,$0.00,$8.00,$0.00,$8.00,,,,https://squareup.com/payment/5NGC33M5T1SD7,5NGC33M5T1SD7,Illyria,Ground Lamb
2012-07-28,11:09:17,Payment,Cash,$12.00,$0.00,$0.00,$0.00,$12.00,$0.00,$12.00,,,,https://squareup.com/payment/F4XXAXJY2HS40,F4XXAXJY2HS40,Illyria,Garretts Ferry
2012-07-28,11:02:35,Payment,Cash,$28.00,$0.00,$0.00,$0.00,$28.00,$0.00,$28.00,,,,https://squareup.com/payment/6V6CR0JCT121X,6V6CR0JCT121X,Illyria,"2 x Ricotta, 6oz and Garretts Ferry"
2012-07-28,10:46:17,Payment,Cash,$12.00,$0.00,$0.00,$0.00,$12.00,$0.00,$12.00,,,,https://squareup.com/payment/E6227BJZQRV9Z,E6227BJZQRV9Z,Illyria,Garretts Ferry
2012-07-28,10:45:09,Payment,Cash,$12.00,$-1.00,$0.00,$0.00,$11.00,$0.00,$11.00,,,,https://squareup.com/payment/1E4MKM2FRQTAK,1E4MKM2FRQTAK,Illyria,Garretts Ferry
2012-07-28,10:44:43,Payment,Cash,$12.00,$0.00,$0.00,$0.00,$12.00,$0.00,$12.00,,,,https://squareup.com/payment/FB097FFYFST9W,FB097FFYFST9W,Illyria,Garretts Ferry
2012-07-28,10:41:25,Payment,Cash,$8.00,$0.00,$0.00,$0.00,$8.00,$0.00,$8.00,,,,https://squareup.com/payment/AF0T5HFFRPTPV,AF0T5HFFRPTPV,Illyria,Ground Lamb
2012-07-28,10:30:19,Payment,Cash,$8.00,$0.00,$0.00,$0.00,$8.00,$0.00,$8.00,,,,https://squareup.com/payment/00A14K0QJJ8NB,00A14K0QJJ8NB,Illyria,Ground Lamb
2012-07-28,10:27:12,Payment,Cash,$8.00,$0.00,$0.00,$0.00,$8.00,$0.00,$8.00,,,,https://squareup.com/payment/3D28V9GCPJSZ4,3D28V9GCPJSZ4,Illyria,Ground Lamb
2012-07-28,10:12:59,Payment,Cash,$12.00,$0.00,$0.00,$0.00,$12.00,$0.00,$12.00,,,,https://squareup.com/payment/D4EWGWKPEMZZG,D4EWGWKPEMZZG,Illyria,Garretts Ferry
2012-07-28,10:12:23,Payment,Card,$12.00,$0.00,$0.00,$0.00,$12.00,$0.33,$11.67,Card - Swiped,MasterCard,"=""9657""",https://squareup.com/payment/DK81ETQ5PBH9S,DK81ETQ5PBH9S,Illyria,Garretts Ferry
2012-07-28,10:10:48,Payment,Cash,$8.00,$0.00,$0.00,$0.00,$8.00,$0.00,$8.00,,,,https://squareup.com/payment/7VBW5T2TB9R27,7VBW5T2TB9R27,Illyria,"Ricotta, 6oz"
2012-07-28,10:08:58,Payment,Cash,$16.00,$0.00,$0.00,$0.00,$16.00,$0.00,$16.00,,,,https://squareup.com/payment/BSTJ52JD2TD2Y,BSTJ52JD2TD2Y,Illyria,2 x Ground Lamb
